Annotated Name,Tip Label 160511,Species ,Extraction #,PHLAWD,DNA Log Species Name,Collection #,ID for database,Date Collected,Summit,Occurrence,Range,Meadow,Locality Detail,Elevation (ft.),WGS N,WGS W,Leaf Sample
Erigeron_compositus,Erigeron_compositus_13537,Erigeron_compositus,13537,Erigeron_compositus,Erigeron compositus,Marx 2012-001,Erigeron compositus,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Just below summit,10508,44.14369,115.00683,1
NA,NA,NA,NA,Eritrichium_nanum,Eritrichium nanum,Marx 2012-002,Eritrichium nanum,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: Just below summit,10508,44.14369,115.00683,1
Sedum_lanceolatum_var_lanceolatum,Sedum_lanceolatum_var_lanceolatum_13539,Sedum_lanceolatum_var_lanceolatum,13539,Sedum_lanceolatum,Sedum lanceolatum var. lanceolatum,Marx 2012-003,Sedum lanceolatum var. lanceolatum,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Smelowskia_calycina,Smelowskia_calycina_13550,Smelowskia_calycina,13550,Smelowskia_calycina,Smelowskia calycina,Marx 2012-004,Smelowskia calycina,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Antennaria_umbrinella,Antennaria_umbrinella_13540,Antennaria_umbrinella,13540,Antennaria_umbrinella,Antennaria umbrinella,Marx 2012-005,Antennaria umbrinella,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Eriogonum_crosbyae,Eriogonum_crosbyae_13541,Eriogonum_crosbyae,13541,,Eriogonum crosbyae,Marx 2012-006,Eriogonum crosbyae,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Eriogonum_ovalifolium_var_depressum,Eriogonum_ovalifolium_var_depressum_13542,Eriogonum_ovalifolium_var_depressum,13542,Eriogonum_ovalifolium,Eriogonum ovalifolium var. depressum,Marx 2012-007,Eriogonum ovalifolium ,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Eriogonum_ovalifolium_var_depressum,Eriogonum_ovalifolium_var_depressum_13543,Eriogonum_ovalifolium_var_depressum,13543,Eriogonum_ovalifolium,Eriogonum ovalifolium var. depressum,Marx 2012-008,Eriogonum ovalifolium ,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Minuartia_nuttallii,Minuartia_nuttallii_13544,Minuartia_nuttallii,13544,Sabulina_nuttallii,Minuartia nuttallii,Marx 2012-009,Minuartia nuttallii,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Hulsea_algida,Hulsea_algida_13545,Hulsea_algida,13545,Hulsea_algida,Hulsea algida,Marx 2012-010,Hulsea algida,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Arabis_lemonii,Arabis_cf_lemonii_13546,Arabis_cf_lemonii,13546,Boechera_lemmonii,Arabis c.f lemonii ,Marx 2012-011,Arabis c.f lemmonii,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Luzula_sp,Juncus_sp_13547,Juncus_sp,13547,,Juncus,Marx 2012-012,NA,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Carex_sp,Carex_sp_13548,Carex_sp,13548,,Carex,Marx 2012-013,NA,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
NA,NA,NA,NA,,NA,Marx 2012-014 (a-d),Draba oligosperma,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,1,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: South facing gravel slope just above camp at Profile Lake,9064,44.14639,115.00528,0
Carex_sp,Carex_sp_13549,Carex_sp,13549,,Carex,Marx 2012-015,NA,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
Poa_sp,Poa_sp_13551,Poa_sp,13551,,Poa,Marx 2012-016,NA,31-Jul-12,Thompson Peak,1,Sawtooth Mountains,0,Idaho: Sawtooth National Forest: Sawtooth Mountains: Thompson Peak: SW slope heading down from summit,10661,44.14139,115.01000,1
