"","Annotated.Name","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa",0,0,0,1,0,0,0,1,1
"2","Achillea_millefolium_var_alpicola",0,1,1,1,1,0,1,0,0
"3","Aconogonon_phytolaccaefolium",0,0,0,1,0,0,0,0,0
"4","Androsace_septentrionalis",0,0,1,0,0,0,1,0,0
"5","Anemone_drummondii",0,0,1,0,0,1,0,0,0
"6","Anemone_drummondii_var_drummondii",1,0,0,0,0,0,0,0,0
"7","Antennaria_alpina",0,1,1,0,1,1,0,1,1
"8","Antennaria_corymbosa",0,0,0,0,0,0,1,0,0
"9","Antennaria_lanata",0,0,0,0,0,1,0,0,1
"10","Antennaria_microphylla",1,0,0,0,0,0,0,1,0
"11","Antennaria_rosea",0,1,0,0,0,0,0,0,0
"12","Antennaria_umbrinella",0,0,0,1,1,0,1,0,1
"13","Aquilegia_flavescens",0,0,0,0,0,0,1,0,0
"14","Arabis_lemmonii",0,1,0,0,0,0,0,1,0
"15","Arabis_lemonii",0,0,1,0,1,0,0,0,1
"16","Arabis_microphylla",0,0,0,0,0,1,0,0,1
"17","Arabis_sp",0,0,1,0,0,0,1,0,0
"18","Arnica_chamissonis",0,0,0,0,1,0,1,0,0
"19","Arnica_latifolia",0,0,0,0,1,1,0,1,0
"20","Arnica_latifolia_var_gracilis",1,0,0,1,0,0,0,0,0
"21","Arnica_mollis",0,0,0,0,0,0,1,0,0
"22","Arnica_parryi",0,1,0,0,0,0,0,0,0
"23","Artemisia_dracunculus",0,1,0,0,0,0,0,0,0
"24","Aster_alpinus",0,0,0,0,1,0,0,0,0
"25","Aster_foliaceus_var_apricus",0,0,1,0,1,0,1,0,0
"26","Aster_occidentalis_var_occidentalis",0,0,0,0,0,0,1,0,0
"27","Astragalus_alpinus",0,0,0,0,0,0,1,0,0
"28","Astragalus_eucosmus",0,0,0,0,1,0,0,0,0
"29","Astragalus_kentrophyta",0,0,1,0,1,0,1,0,0
"30","Bistorta_bistortoides",0,0,0,0,1,0,1,0,0
"31","Bupleurum_americanum",0,0,0,0,0,0,0,1,1
"32","Carex_elynoides",0,0,0,0,1,0,0,0,0
"33","Carex_microptera",0,0,0,0,1,0,0,0,0
"34","Carex_sp",1,0,0,1,0,0,1,0,1
"35","Carex_straminiformis",0,0,0,0,1,0,1,0,0
"36","Cassiope_mertensiana_var_gracilis",0,0,1,0,0,1,0,0,1
"37","Castilleja_applegatei",0,0,1,0,0,0,0,0,0
"38","Castilleja_cusickii",0,1,0,0,0,1,1,1,0
"39","Castilleja_miniata",0,0,0,0,1,1,1,1,0
"40","Castilleja_rhexiifolia",0,0,0,0,0,0,1,0,0
"41","Cerastium_arvense",0,0,0,0,1,0,0,0,0
"42","Cerastium_beeringianum",0,0,1,0,1,0,1,0,0
"43","Chaenactis_alpina",1,1,0,0,0,1,1,1,1
"44","Chionophila_tweedyi",1,0,0,0,0,1,0,0,1
"45","Cirsium_scariosum",0,0,0,0,0,0,1,0,0
"46","Cirsium_subniveum",0,1,0,0,0,0,0,0,0
"47","Cistanthe_umbellata",0,0,0,0,0,0,1,0,0
"48","Claytonia_megarhiza",0,1,0,0,1,1,1,1,0
"49","Claytonia_megarhiza_var_bellidifolia",1,0,0,0,0,0,0,0,1
"50","Collomia_debilis",0,0,1,0,0,0,0,1,0
"51","Crepis_nana",0,0,1,0,0,0,0,0,0
"52","Dasiphora_fruticosa",0,0,0,0,0,0,1,0,0
"53","Draba_crassifolia",1,0,0,1,0,0,0,0,0
"54","Draba_densifolia",0,1,0,0,1,0,0,0,0
"55","Draba_lonchocarpa",0,1,1,0,1,0,1,0,0
"56","Draba_oligosperma",0,0,1,0,1,0,0,0,0
"57","Draba_oreibata",0,0,0,1,0,0,0,1,0
"58","Epilobium_alpinum",0,1,1,0,0,1,1,1,0
"59","Epilobium_alpinum_var_clavatum",0,0,0,1,0,0,0,0,0
"60","Epilobium_obcordatum",0,0,0,1,0,0,0,0,0
"61","Eremogone_aculeata",0,0,1,0,0,0,1,0,0
"62","Eremogone_congesta",0,0,1,0,1,0,0,0,0
"63","Ericameria_discoidea",0,0,0,0,0,1,0,0,0
"64","Erigeron_asperugineus",0,1,0,0,0,0,0,0,0
"65","Erigeron_compositus",1,1,1,0,1,1,1,1,1
"66","Erigeron_evermannii",1,0,0,1,0,0,0,1,0
"67","Erigeron_grandiflorus",0,0,0,0,1,1,0,0,1
"68","Erigeron_lonchophyllus",0,0,0,0,1,0,0,0,0
"69","Erigeron_sp",0,0,1,0,0,0,0,0,0
"70","Eriogonum_crosbyae",0,1,1,0,1,0,0,1,1
"71","Eriogonum_flavum_var_piperi",0,0,1,0,0,0,0,0,0
"72","Eriogonum_ovalifolium",0,1,0,0,0,1,0,1,0
"73","Eriogonum_ovalifolium_var_depressum",1,0,1,0,1,0,1,0,1
"74","Eriogonum_ovalifolium_var_purpureum",0,0,0,1,0,0,0,0,0
"75","Eriogonum_pyrolaefolium_var_coryphaeum",1,0,0,1,0,0,0,0,0
"76","Eritrichium_nanum",0,0,1,0,0,0,0,0,0
"77","Erysimum_asperum",0,0,0,1,0,1,0,0,0
"78","Erythranthe_tilingii",0,0,0,0,1,0,1,0,0
"79","Festuca_sp",0,1,0,0,0,1,0,0,0
"80","Gentiana_calycosa",0,0,0,0,1,0,1,0,0
"81","Gentiana_calycosa_var_obtusiloba",0,0,0,0,0,0,0,0,1
"82","Haplopappus_macronema",0,1,0,0,1,0,0,1,0
"83","Haplopappus_suffruticosus",0,0,1,0,0,0,0,0,0
"84","Heuchera_parvifolia_var_dissecta",0,1,0,1,1,1,1,1,0
"85","Hieracium_triste",0,0,0,0,0,1,0,0,1
"86","Hordium_sp",0,0,0,1,0,0,0,0,0
"87","Hulsea_algida",1,1,0,1,1,1,1,1,1
"88","Ivesia_gordonii",0,0,1,0,1,0,0,1,1
"89","Juncus_sp",0,1,1,1,1,1,0,0,1
"90","Juniperus_communis",0,1,0,1,0,1,0,0,1
"91","Lewisia_pygmaea_var_pygmara",0,0,0,0,1,0,0,0,1
"92","Lomatium_idahoensis",0,1,0,0,0,0,0,0,0
"93","Lomatium_sp",0,0,0,1,0,0,0,0,0
"94","Lupinus_argenteus_var_depressus",0,1,1,0,0,0,1,0,0
