"","Annotated.Name","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa",0,0,0,0,0,1
"2","Achillea_millefolium_var_alpicola",1,0,0,0,0,0
"3","Antennaria_alpina",1,0,1,0,1,1
"4","Antennaria_corymbosa",0,0,0,1,0,0
"5","Antennaria_lanata",0,0,0,0,0,1
"6","Arabis_lemonii",1,0,0,0,0,0
"7","Arabis_microphylla",0,0,0,0,0,1
"8","Arnica_chamissonis",0,0,1,1,0,0
"9","Arnica_latifolia",0,0,0,0,1,0
"10","Aster_foliaceus_var_apricus",1,0,1,0,0,0
"11","Aster_occidentalis_var_occidentalis",0,0,0,1,0,0
"12","Bistorta_bistortoides",0,0,1,1,0,0
"13","Bupleurum_americanum",0,0,0,0,1,1
"14","Carex_sp",0,0,0,0,0,1
"15","Cassiope_mertensiana_var_gracilis",1,0,0,0,0,1
"16","Castilleja_applegatei",1,0,0,0,0,0
"17","Castilleja_cusickii",0,0,0,1,1,0
"18","Castilleja_miniata",0,0,1,1,1,0
"19","Castilleja_rhexiifolia",0,0,0,1,0,0
"20","Cerastium_arvense",0,0,1,0,0,0
"21","Chionophila_tweedyi",0,0,0,0,0,1
"22","Claytonia_megarhiza_var_bellidifolia",0,0,0,0,0,1
"23","Dasiphora_fruticosa",0,0,0,1,0,0
"24","Draba_oreibata",0,0,0,0,1,0
"25","Epilobium_alpinum",0,0,0,1,0,0
"26","Eremogone_aculeata",1,0,0,0,0,0
"27","Eremogone_congesta",1,0,1,0,0,0
"28","Erigeron_evermannii",0,0,0,0,1,0
"29","Erigeron_grandiflorus",0,0,0,0,0,1
"30","Erigeron_sp",1,0,0,0,0,0
"31","Eriogonum_flavum_var_piperi",1,0,0,0,0,0
"32","Eriogonum_ovalifolium",0,0,0,0,1,0
"33","Eriogonum_ovalifolium_var_depressum",1,0,0,0,0,0
"34","Erysimum_asperum",0,1,0,0,0,0
"35","Erythranthe_tilingii",0,0,1,1,0,0
"36","Gentiana_calycosa",0,0,1,1,0,0
"37","Gentiana_calycosa_var_obtusiloba",0,0,0,0,0,1
"38","Haplopappus_suffruticosus",1,0,0,0,0,0
"39","Hieracium_triste",0,0,0,0,0,1
"40","Hulsea_algida",0,0,0,0,1,0
"41","Ivesia_gordonii",1,0,0,0,0,1
"42","Juncus_sp",1,0,1,0,0,1
"43","Juniperus_communis",0,0,0,0,0,1
"44","Lewisia_pygmaea_var_pygmara",0,0,1,0,0,1
"45","Lomatium_sp",0,1,0,0,0,0
"46","Lupinus_argenteus_var_depressus",1,0,0,1,0,0
"47","Packera_subnuda",0,0,1,0,0,0
"48","Parnassia_fimbriata",0,0,0,1,0,0
"49","Pedicularis_groenlandica",0,0,1,1,0,0
"50","Phlox_pulvinata",1,0,0,0,0,1
"51","Phyllodoce_empetriformis",0,0,1,1,1,1
"52","Phyllodoce_glanduliflora",0,0,1,0,0,1
"53","Pinus_albicaulis",0,0,0,0,0,1
"54","Poa_sp",1,0,1,1,1,0
"55","Polygonum_viviparum",0,0,1,0,0,0
"56","Potentilla_brevifolia",0,0,0,0,0,1
"57","Potentilla_glandulosa",0,0,0,0,1,0
"58","Potentilla_glaucophylla_var_glaucophylla",1,0,1,0,0,0
"59","Ranunculus_eschscholtzii_var_eschscholtzii",0,0,0,0,0,1
"60","Salix_arctica",0,0,1,1,0,0
"61","Salix_nivalis",1,0,0,0,0,0
"62","Saxifraga_mertensiana",0,0,1,1,0,0
"63","Sedum_debile",1,0,0,0,0,0
"64","Sedum_lanceolatum_var_lanceolatum",1,0,0,0,0,0
"65","Senecio_residifolius",0,0,1,0,0,0
"66","Senecio_werneriifolius",1,0,0,0,0,0
"67","Sibbaldia_procumbens",0,0,0,1,0,0
"68","Silene_acaulis",0,0,0,0,0,1
"69","Solidago_multiradiata",1,0,1,1,0,0
"70","Stenotus_acaulis",1,0,0,0,0,0
"71","Synthyris_pinnatifida_var_cenescens",0,0,0,0,0,1
"72","Tonestus_lyallii",0,0,0,0,1,0
"73","Veronica_wormskjoldii",0,0,1,0,0,0
"74","Viola_adunca",0,0,1,0,0,0
