"","Annotated.Name","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Abies_lasiocarpa",0,0,0,1,0,0,0,1,0
"2","Achillea_millefolium_var_alpicola",0,1,0,1,1,0,1,0,0
"3","Aconogonon_phytolaccaefolium",0,0,0,1,0,0,0,0,0
"4","Androsace_septentrionalis",0,0,1,0,0,0,1,0,0
"5","Anemone_drummondii",0,0,1,0,0,1,0,0,0
"6","Anemone_drummondii_var_drummondii",1,0,0,0,0,0,0,0,0
"7","Antennaria_alpina",0,1,1,0,0,1,0,0,0
"8","Antennaria_lanata",0,0,0,0,0,1,0,0,0
"9","Antennaria_microphylla",1,0,0,0,0,0,0,1,0
"10","Antennaria_rosea",0,1,0,0,0,0,0,0,0
"11","Antennaria_umbrinella",0,0,0,1,1,0,1,0,1
"12","Aquilegia_flavescens",0,0,0,0,0,0,1,0,0
"13","Arabis_lemmonii",0,1,0,0,0,0,0,1,0
"14","Arabis_lemonii",0,0,1,0,1,0,0,0,1
"15","Arabis_microphylla",0,0,0,0,0,1,0,0,0
"16","Arabis_sp",0,0,1,0,0,0,1,0,0
"17","Arnica_latifolia",0,0,0,0,1,1,0,0,0
"18","Arnica_latifolia_var_gracilis",1,0,0,1,0,0,0,0,0
"19","Arnica_mollis",0,0,0,0,0,0,1,0,0
"20","Arnica_parryi",0,1,0,0,0,0,0,0,0
"21","Artemisia_dracunculus",0,1,0,0,0,0,0,0,0
"22","Aster_alpinus",0,0,0,0,1,0,0,0,0
"23","Aster_foliaceus_var_apricus",0,0,0,0,0,0,1,0,0
"24","Astragalus_alpinus",0,0,0,0,0,0,1,0,0
"25","Astragalus_eucosmus",0,0,0,0,1,0,0,0,0
"26","Astragalus_kentrophyta",0,0,1,0,1,0,1,0,0
"27","Bistorta_bistortoides",0,0,0,0,0,0,1,0,0
"28","Carex_elynoides",0,0,0,0,1,0,0,0,0
"29","Carex_microptera",0,0,0,0,1,0,0,0,0
"30","Carex_sp",1,0,0,1,0,0,1,0,1
"31","Carex_straminiformis",0,0,0,0,1,0,1,0,0
"32","Cassiope_mertensiana_var_gracilis",0,0,0,0,0,1,0,0,0
"33","Castilleja_cusickii",0,1,0,0,0,1,0,0,0
"34","Castilleja_miniata",0,0,0,0,0,1,0,0,0
"35","Cerastium_beeringianum",0,0,1,0,1,0,1,0,0
"36","Chaenactis_alpina",1,1,0,0,0,1,1,1,1
"37","Chionophila_tweedyi",1,0,0,0,0,1,0,0,0
"38","Cirsium_scariosum",0,0,0,0,0,0,1,0,0
"39","Cirsium_subniveum",0,1,0,0,0,0,0,0,0
"40","Cistanthe_umbellata",0,0,0,0,0,0,1,0,0
"41","Claytonia_megarhiza",0,1,0,0,1,1,1,1,0
"42","Claytonia_megarhiza_var_bellidifolia",1,0,0,0,0,0,0,0,0
"43","Collomia_debilis",0,0,1,0,0,0,0,1,0
"44","Crepis_nana",0,0,1,0,0,0,0,0,0
"45","Draba_crassifolia",1,0,0,1,0,0,0,0,0
"46","Draba_densifolia",0,1,0,0,1,0,0,0,0
"47","Draba_lonchocarpa",0,1,1,0,1,0,1,0,0
"48","Draba_oligosperma",0,0,1,0,1,0,0,0,0
"49","Draba_oreibata",0,0,0,1,0,0,0,1,0
"50","Epilobium_alpinum",0,1,1,0,0,1,0,1,0
"51","Epilobium_alpinum_var_clavatum",0,0,0,1,0,0,0,0,0
"52","Epilobium_obcordatum",0,0,0,1,0,0,0,0,0
"53","Eremogone_aculeata",0,0,0,0,0,0,1,0,0
