"","Accepted.Name.GenBank","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"1","Abies_lasiocarpa",1,0,0,0,1,0,0,0,1,1
"2","Achillea_millefolium",1,0,1,1,1,1,0,1,0,0
"3","Aconogonon_phytolaccifolium",0,0,0,0,1,0,0,0,0,0
"4","Agoseris_aurantiaca",1,0,0,0,0,1,0,0,0,0
"5","Agrostis_variabilis",1,0,0,0,0,0,0,1,0,0
"6","Androsace_septentrionalis",0,0,0,1,0,1,0,1,0,0
"7","Anemone_drummondii",0,1,0,1,0,0,1,0,0,0
"8","Antennaria_corymbosa",1,0,0,0,0,0,0,1,0,0
"9","Antennaria_lanata",1,0,0,0,0,0,1,0,0,1
"10","Antennaria_media",1,0,1,1,0,1,1,0,1,1
"11","Antennaria_microphylla",0,1,0,0,0,0,0,0,1,0
"12","Antennaria_rosea",0,0,1,0,0,0,0,0,0,0
"13","Antennaria_umbrinella",0,0,0,0,1,1,0,1,0,1
"14","Aquilegia_flavescens",0,0,0,0,0,0,0,1,0,0
"15","Arnica_chamissonis",1,0,0,0,0,1,0,1,0,0
"16","Arnica_latifolia",0,1,1,0,1,1,1,0,1,0
"17","Arnica_mollis",0,0,0,0,0,0,0,1,0,0
"18","Arnica_parryi",0,0,1,0,0,0,0,0,0,0
"19","Artemisia_dracunculus",0,0,1,0,0,0,0,0,0,0
"20","Askellia_pygmaea",0,0,0,1,0,0,0,0,0,0
"21","Astragalus_alpinus",0,0,0,0,0,0,0,1,0,0
"22","Astragalus_eucosmus",0,0,0,0,0,1,0,0,0,0
"23","Astragalus_kentrophyta",0,0,0,1,0,1,0,1,0,0
"24","Bistorta_bistortoides",1,0,0,0,0,1,0,1,0,0
"25","Bistorta_vivipara",1,0,0,0,0,1,0,0,0,0
"26","Boechera_lemmonii",1,0,1,1,0,1,0,1,1,1
"27","Boechera_microphylla",1,0,1,0,0,0,1,0,0,1
"28","Bupleurum_americanum",1,0,0,0,0,0,0,0,1,1
"29","Calamagrostis_purpurascens",0,0,0,0,0,1,1,0,0,1
"30","Calyptridium_umbellatum",0,0,0,0,0,0,0,1,0,0
"31","Carex_luzulina",0,0,0,0,0,0,0,1,0,0
"32","Carex_microptera",0,0,0,0,0,1,0,0,0,0
"33","Carex_nardina",1,0,0,1,0,1,0,0,0,1
"34","Carex_pachycarpa",0,0,0,0,0,0,1,0,0,0
"35","Carex_proposita",0,0,0,0,0,0,0,0,1,0
"36","Carex_scopulorum",1,0,0,0,0,0,0,0,0,1
"37","Carex_straminiformis",1,1,0,1,1,1,0,1,0,1
"38","Cassiope_mertensiana_var_gracilis",1,0,0,1,0,0,1,0,0,1
"39","Castilleja_applegatei",0,0,1,0,0,0,0,0,0,0
"40","Castilleja_cusickii",1,0,1,0,0,0,1,1,0,0
"41","Castilleja_miniata",1,0,0,0,0,1,1,1,0,0
"42","Castilleja_rhexiifolia",1,0,0,0,0,0,0,1,0,0
"43","Cerastium_arvense",1,0,0,0,0,1,0,0,0,0
"44","Cerastium_beeringianum",0,0,0,1,0,1,0,1,0,0
"45","Chaenactis_douglasii_var_alpina",0,1,1,0,0,0,1,1,1,1
"46","Cherleria_obtusiloba",1,1,1,1,0,1,1,0,0,1
