"","Accepted.Name.GenBank","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"1","Abies_lasiocarpa",0,0,0,0,1,0,0,0,1,0
"2","Achillea_millefolium",0,0,1,0,1,1,0,1,0,0
"3","Aconogonon_phytolaccifolium",0,0,0,0,1,0,0,0,0,0
"4","Androsace_septentrionalis",0,0,0,1,0,1,0,1,0,0
"5","Anemone_drummondii",0,1,0,1,0,0,1,0,0,0
"6","Antennaria_lanata",0,0,0,0,0,0,1,0,0,0
"7","Antennaria_media",0,0,1,1,0,0,1,0,1,0
"8","Antennaria_microphylla",0,1,0,0,0,0,0,0,1,0
"9","Antennaria_rosea",0,0,1,0,0,0,0,0,0,0
"10","Antennaria_umbrinella",0,0,0,0,1,1,0,1,0,1
"11","Aquilegia_flavescens",0,0,0,0,0,0,0,1,0,0
"12","Arnica_latifolia",0,1,1,0,1,1,1,0,1,0
"13","Arnica_mollis",0,0,0,0,0,0,0,1,0,0
"14","Arnica_parryi",0,0,1,0,0,0,0,0,0,0
"15","Artemisia_dracunculus",0,0,1,0,0,0,0,0,0,0
"16","Askellia_pygmaea",0,0,0,1,0,0,0,0,0,0
"17","Astragalus_alpinus",0,0,0,0,0,0,0,1,0,0
"18","Astragalus_eucosmus",0,0,0,0,0,1,0,0,0,0
"19","Astragalus_kentrophyta",0,0,0,1,0,1,0,1,0,0
"20","Bistorta_bistortoides",0,0,0,0,0,0,0,1,0,0
"21","Boechera_lemmonii",0,0,1,1,0,1,0,1,1,1
"22","Boechera_microphylla",0,0,1,0,0,0,1,0,0,0
"23","Bupleurum_americanum",0,0,0,0,0,0,0,0,1,0
"24","Calamagrostis_purpurascens",0,0,0,0,0,1,1,0,0,1
"25","Calyptridium_umbellatum",0,0,0,0,0,0,0,1,0,0
"26","Carex_luzulina",0,0,0,0,0,0,0,1,0,0
"27","Carex_microptera",0,0,0,0,0,1,0,0,0,0
"28","Carex_nardina",0,0,0,1,0,1,0,0,0,1
"29","Carex_pachycarpa",0,0,0,0,0,0,1,0,0,0
"30","Carex_proposita",0,0,0,0,0,0,0,0,1,0
"31","Carex_straminiformis",0,1,0,0,1,1,0,1,0,1
"32","Cassiope_mertensiana_var_gracilis",0,0,0,0,0,0,1,0,0,0
"33","Castilleja_applegatei",0,0,1,0,0,0,0,0,0,0
"34","Castilleja_cusickii",0,0,1,0,0,0,1,0,0,0
"35","Castilleja_miniata",0,0,0,0,0,0,1,0,0,0
"36","Cerastium_beeringianum",0,0,0,1,0,1,0,1,0,0
"37","Chaenactis_douglasii_var_alpina",0,1,1,0,0,0,1,1,1,1
"38","Cherleria_obtusiloba",0,1,1,1,0,1,1,0,0,1
"39","Chionophila_tweedyi",0,1,0,0,0,0,1,0,0,0
"40","Cirsium_inamoenum_var_inamoenum",0,0,1,0,0,0,0,0,0,0
"41","Cirsium_scariosum",0,0,0,0,0,0,0,1,0,0
"42","Claytonia_megarhiza",0,1,1,0,0,1,1,1,1,0
"43","Collomia_debilis",0,0,0,1,0,0,0,0,1,0
"44","Cryptogramma_crispa",0,0,0,0,1,0,1,1,1,0
"45","Cystopteris_fragilis",0,0,1,0,1,0,0,0,0,0
"46","Draba_crassifolia",0,1,0,0,1,0,0,0,0,0
"47","Draba_densifolia",0,0,1,0,0,1,0,0,0,0
"48","Draba_lonchocarpa",0,0,1,1,0,1,0,1,0,0
"49","Draba_oligosperma",0,0,0,1,0,1,0,0,0,0
"50","Draba_oreibata",0,0,0,0,1,0,0,0,1,0
"51","Draba_stenoloba",0,0,1,0,0,0,0,0,0,0
"52","Drymocallis_glandulosa",0,0,1,0,1,1,1,1,1,0
"53","Drymocallis_pseudorupestris_var_pseudorupestris",0,0,0,0,0,0,0,1,0,0
"54","Elymus_elymoides",0,0,1,0,1,1,0,1,1,0
"55","Elymus_scribneri",0,0,0,1,0,0,0,1,0,0
"56","Epilobium_alpinum",0,0,1,1,1,0,1,1,1,0
"57","Epilobium_obcordatum",0,0,0,0,1,0,0,0,0,0
"58","Eremogone_aculeata",0,0,0,0,0,0,0,1,0,0
"59","Ericameria_discoidea",0,0,1,0,0,1,1,0,1,0
"60","Ericameria_suffruticosa",0,0,1,0,0,0,0,0,0,0
"61","Erigeron_asperugineus",0,0,1,0,0,0,0,0,0,0
"62","Erigeron_compositus",0,1,1,1,0,1,1,1,1,1
"63","Erigeron_evermannii",0,1,0,0,1,0,0,0,1,0
"64","Erigeron_glacialis",0,0,0,0,0,1,0,0,0,0
"65","Erigeron_grandiflorus",0,0,0,0,0,1,1,0,0,0
"66","Erigeron_lonchophyllus",0,0,0,0,0,1,0,0,0,0
"67","Eriogonum_crocatum",0,0,0,1,0,0,0,0,0,0
"68","Eriogonum_crosbyae",0,0,1,0,0,1,0,0,1,1
"69","Eriogonum_ovalifolium",0,1,1,1,1,1,1,1,1,1
"70","Eriogonum_pyrolifolium",0,1,0,0,1,0,0,0,0,0
"71","Eritrichium_argenteum",0,0,0,1,0,0,0,0,0,1
"72","Erysimum_capitatum",0,0,0,0,1,0,1,0,0,0
"73","Festuca_brachyphylla_ssp_brachyphylla",0,1,1,0,0,1,1,0,0,0
"74","Heuchera_parvifolia",0,0,1,0,1,1,1,1,1,0
"75","Hieracium_triste",0,0,0,0,0,0,1,0,0,0
"76","Hulsea_algida",0,1,1,0,1,1,1,1,1,1
"77","Ivesia_gordonii",0,0,0,0,0,1,0,0,1,0
"78","Juncus_drummondii",0,0,0,0,1,0,1,0,0,0
"79","Juncus_parryi",0,0,1,0,1,0,1,1,1,0
"80","Juniperus_communis",0,0,1,0,1,0,1,0,0,0
"81","Lomatium_idahoense",0,0,1,0,1,0,0,0,0,0
"82","Lupinus_argenteus_var_depressus",0,0,1,0,0,0,0,0,0,0
"83","Luzula_piperi",0,1,0,0,0,0,1,0,0,0
"84","Luzula_spicata",0,1,1,0,0,1,0,0,0,1
"85","Micranthes_ferruginea",0,0,1,0,0,0,0,0,0,0
"86","Musineon_divaricatum",0,0,0,0,1,0,0,0,0,0
"87","Oxyria_digyna",0,1,1,1,1,1,1,1,1,0
"88","Oxytropis_deflexa",0,0,0,1,0,0,0,0,0,0
"89","Oxytropis_parryi",0,0,0,1,0,0,0,0,0,0
"90","Packera_werneriifolia",0,0,1,1,0,0,0,0,1,0
"91","Penstemon_fruticosus",0,0,0,1,0,0,0,0,0,0
"92","Penstemon_montanus_var_idahoensis",0,1,1,0,1,0,0,0,0,0
"93","Penstemon_procerus_var_formosus",0,0,0,0,0,0,0,1,0,0
"94","Phacelia_hastata_var_alpina",0,0,1,0,0,0,0,1,0,0
"95","Phlox",0,0,0,1,0,1,0,0,0,0
"96","Phlox_condensata",0,0,1,0,1,1,0,1,0,0
"97","Phlox_diffusa",0,0,0,0,0,1,0,0,0,0
"98","Phyllodoce_empetriformis",0,0,0,0,1,0,1,0,1,0
"99","Phyllodoce_glanduliflora",0,0,0,0,0,0,1,0,0,0
"100","Picea_engelmannii",0,1,0,0,0,0,0,0,0,0
"101","Pinus_albicaulis",0,1,0,0,1,0,0,0,1,0
"102","Poa_fendleriana_ssp_fendleriana",0,0,1,0,1,0,0,0,1,0
"103","Poa_secunda",0,1,1,1,0,1,0,1,1,0
"104","Polemonium_viscosum",0,0,1,1,0,1,0,1,1,1
"105","Potentilla_brevifolia",0,0,0,0,0,0,1,0,0,0
"106","Ranunculus_eschscholtzii",0,0,1,0,0,0,0,0,0,0
"107","Ribes_lacustre",0,1,1,0,0,1,0,1,0,0
"108","Sabulina_rubella",0,0,0,1,0,0,0,0,0,0
"109","Saxifraga_bronchialis",0,1,0,0,0,0,0,0,0,0
"110","Saxifraga_oppositifolia",0,0,0,1,0,0,0,0,0,0
"111","Sedum_debile",0,0,1,0,0,0,0,0,0,0
