"","Accepted.Name.GenBank","Meadow","D.O. Lee Peak","Hyndman Peak","Salzburger Spitzl","Thompson Peak"
"1","Abies_lasiocarpa",1,0,0,0,1
"2","Achillea_millefolium",1,1,0,0,0
"3","Agoseris_aurantiaca",1,0,1,0,0
"4","Agrostis_variabilis",1,0,0,1,0
"5","Antennaria_corymbosa",1,0,0,1,0
"6","Antennaria_lanata",1,0,0,0,1
"7","Antennaria_media",1,1,1,0,1
"8","Arnica_chamissonis",1,0,1,1,0
"9","Bistorta_bistortoides",1,0,1,1,0
"10","Bistorta_vivipara",1,0,1,0,0
"11","Boechera_lemmonii",1,1,0,0,0
"12","Boechera_microphylla",1,0,0,0,1
"13","Bupleurum_americanum",1,0,0,0,1
"14","Carex_nardina",1,0,0,0,1
"15","Carex_scopulorum",1,0,0,0,1
"16","Carex_straminiformis",1,1,0,0,1
"17","Cassiope_mertensiana_var_gracilis",1,1,0,0,1
"18","Castilleja_cusickii",1,0,0,1,0
"19","Castilleja_miniata",1,0,1,1,0
"20","Castilleja_rhexiifolia",1,0,0,1,0
"21","Cerastium_arvense",1,0,1,0,0
"22","Cherleria_obtusiloba",1,0,0,0,1
"23","Chionophila_tweedyi",1,0,0,0,1
"24","Claytonia_megarhiza",1,0,0,0,1
"25","Cystopteris_fragilis",1,0,1,0,0
"26","Dasiphora_fruticosa",1,0,0,1,0
"27","Deschampsia_cespitosa",1,1,0,1,0
"28","Deschampsia_cespitosa_ssp_cespitosa",1,0,1,0,0
"29","Drymocallis_lactea",1,0,1,0,0
"30","Epilobium_alpinum",1,0,0,1,0
"31","Eremogone_aculeata",1,1,0,0,0
"32","Eremogone_congesta",1,1,1,1,0
"33","Ericameria_suffruticosa",1,1,0,0,0
"34","Erigeron",1,1,0,0,0
"35","Erigeron_grandiflorus",1,0,0,0,1
"36","Eriogonum_flavum_var_piperi",1,1,0,0,0
"37","Eriogonum_ovalifolium",1,1,0,0,0
"38","Erythranthe_tilingii",1,0,1,1,0
"39","Gentiana_calycosa",1,1,1,1,1
"40","Hieracium_triste",1,0,0,0,1
"41","Ivesia_gordonii",1,1,0,0,1
"42","Juncus_drummondii",1,0,1,0,1
"43","Juncus_parryi",1,1,0,0,0
"44","Juniperus_communis",1,0,0,0,1
"45","Lewisia_pygmaea",1,0,1,0,1
"46","Lupinus_argenteus_var_depressus",1,1,0,1,0
"47","Packera_cymbalaria",1,0,1,0,0
"48","Packera_subnuda",1,0,1,0,0
"49","Packera_werneriifolia",1,1,0,0,0
"50","Parnassia_fimbriata",1,0,0,1,0
"51","Pedicularis_groenlandica",1,0,1,1,0
"52","Phleum_alpinum",1,0,1,1,0
"53","Phlox_condensata",1,1,0,0,1
"54","Phyllodoce_empetriformis",1,0,1,1,1
"55","Phyllodoce_glanduliflora",1,0,1,0,1
"56","Pinus_albicaulis",1,0,0,0,1
"57","Poa_secunda",1,0,0,0,1
"58","Potentilla_brevifolia",1,0,0,0,1
"59","Potentilla_glaucophylla_var_glaucophylla",1,1,1,0,1
"60","Ranunculus_eschscholtzii",1,0,0,0,1
"61","Salix_arctica",1,0,1,1,0
"62","Salix_nivalis",1,1,0,0,0
"63","Saxifraga_mertensiana",1,0,1,1,0
"64","Sedum_debile",1,1,0,0,0
"65","Sedum_lanceolatum",1,1,0,0,0
"66","Senecio_fremontii",1,0,0,0,1
"67","Sibbaldia_procumbens",1,1,1,1,1
"68","Silene_acaulis",1,0,0,0,1
"69","Solidago_multiradiata",1,1,1,1,0
"70","Stenotus_acaulis",1,1,0,0,0
"71","Symphyotrichum_foliaceum_var_apricum",1,1,1,0,0
"72","Symphyotrichum_spathulatum_var_spathulatum",1,0,0,1,0
"73","Synthyris_dissecta",1,0,0,0,1
"74","Trisetum_spicatum",1,1,0,1,0
"75","Veronica_wormskjoldii",1,0,1,0,0
"76","Viola_adunca",1,0,1,0,0
