"","Tip.Label.160511","Meadow","Braxon_Peak","Castle_Peak","D.O._Lee_Peak","Horstmann_Peak","Hyndman_Peak","Mount_Cramer","Salzburger_Spitzl","Snowyside_Peak","Thompson_Peak"
"1","Erigeron_compositus_13537",0,0,0,0,0,0,0,0,0,1
"2","Sedum_lanceolatum_var_lanceolatum_13539",0,0,0,0,0,0,0,0,0,1
"3","Smelowskia_calycina_13550",0,0,0,0,0,0,0,0,0,1
"4","Antennaria_umbrinella_13540",0,0,0,0,0,0,0,0,0,1
"5","Eriogonum_crosbyae_13541",0,0,0,0,0,0,0,0,0,1
"6","Eriogonum_ovalifolium_var_depressum_13542",0,0,0,0,0,0,0,0,0,1
"7","Eriogonum_ovalifolium_var_depressum_13543",0,0,0,0,0,0,0,0,0,1
"8","Minuartia_nuttallii_13544",0,0,0,0,0,0,0,0,0,1
"9","Hulsea_algida_13545",0,0,0,0,0,0,0,0,0,1
"10","Arabis_cf_lemonii_13546",0,0,0,0,0,0,0,0,0,1
"11","Juncus_sp_13547",0,0,0,0,0,0,0,0,0,1
"12","Carex_sp_13548",0,0,0,0,0,0,0,0,0,1
"13","Carex_sp_13549",0,0,0,0,0,0,0,0,0,1
"14","Poa_sp_13551",0,0,0,0,0,0,0,0,0,1
"15","Stipa_sp_13552",0,0,0,0,0,0,0,0,0,1
"16","Chaenactis_alpina_13553",0,0,0,0,0,0,0,0,0,1
"17","Polemonium_viscosum_13554",0,0,0,0,0,0,0,0,0,1
"18","Silene_acaulis_13555",1,0,0,0,0,0,0,0,0,1
"19","Ivesia_gordonii_13559",1,0,0,0,0,0,0,0,0,1
"20","Bupleurum_americanum_13560",1,0,0,0,0,0,0,0,0,1
"21","Lewisia_pygmaea_var_pygmara_14010",1,0,0,0,0,0,0,0,0,1
"22","Arabis_microphylla_14011",1,0,0,0,0,0,0,0,0,1
"23","Erigeron_grandiflorus_14012",1,0,0,0,0,0,0,0,0,1
"24","Chionophila_tweedyi_14013",1,0,0,0,0,0,0,0,0,1
"25","Potentilla_brevifolia_14015",1,0,0,0,0,0,0,0,0,1
"26","Antennaria_lanata_14016",1,0,0,0,0,0,0,0,0,1
"27","Hieracium_triste_14017",1,0,0,0,0,0,0,0,0,1
"28","Carex_sp_14018",1,0,0,0,0,0,0,0,0,1
"29","Antennaria_alpina_14019",1,0,0,0,0,0,0,0,0,1
"30","Phlox_pulvinata_14020",1,0,0,0,0,0,0,0,0,1
"31","Phyllodoce_empetriformis_14021",1,0,0,0,0,0,0,0,0,1
"32","Cassiope_mertensiana_var_gracilis_14022",1,0,0,0,0,0,0,0,0,1
"33","Phyllodoce_glanduliflora_14023",1,0,0,0,0,0,0,0,0,1
"34","Ivesia_gordonii_14024",1,0,0,0,0,0,0,0,0,1
"35","Luzula_sp_14025",1,0,0,0,0,0,0,0,0,1
"36","Carex_sp_14026",1,0,0,0,0,0,0,0,0,1
"37","Ranunculus_eschscholtzii_var_eschscholtzii_14027",1,0,0,0,0,0,0,0,0,1
"38","Synthyris_pinnatifida_var_cenescens_14028",1,0,0,0,0,0,0,0,0,1
"39","Abies_lasiocarpa_14029",1,0,0,0,0,0,0,0,0,1
"40","Pinus_albicaulis_14030",1,0,0,0,0,0,0,0,0,1
"41","Juniperus_communis_14031",1,0,0,0,0,0,0,0,0,1
"42","Gentiana_calycosa_var_obtusiloba_14032",1,0,0,0,0,0,0,0,0,1
"43","Claytonia_megarhiza_var_bellidifolia_14034",1,0,0,0,0,0,0,0,0,1
"44","Epilobium_alpinum_var_clavatum_14123",0,0,0,0,1,0,0,0,0,0
"45","Solidago_multiradiata_14124",0,0,0,0,1,0,0,0,0,0
"46","Oxyria_digyna_14125",0,0,0,0,1,0,0,0,0,0
"47","Eriogonum_pyrolaefolium_var_coryphaeum_14126",0,0,0,0,1,0,0,0,0,0
"48","Arnica_latifolia_var_gracilis_14128",0,0,0,0,1,0,0,0,0,0
