"","Row.names","species","ITS","trnTLF","rbcL","matK","atpB","ndhF","Meadow","Braxon Peak","Castle Peak","D.O. Lee Peak","Horstmann Peak","Hyndman Peak","Mount Cramer","Salzburger Spitzl","Snowyside Peak","Thompson Peak"
"1","Abies_lasiocarpa","Abies_lasiocarpa",NA,"miseq|14029","ncbi|56236673","ncbi|6520431","miseq|14232",NA,1,0,0,0,1,0,0,0,1,1
"2","Achillea_millefolium","Achillea_millefolium","miseq|14619","miseq|14136","ncbi|289108","miseq|14136","ncbi|908606036","miseq|14136",1,0,1,1,1,1,0,1,0,0
"3","Aconogonon_phytolaccifolium","Aconogonon_phytolaccifolium",NA,NA,NA,NA,"miseq|14229",NA,0,0,0,0,1,0,0,0,0,0
"4","Agoseris_aurantiaca","Agoseris_aurantiaca","ncbi|33669310",NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,0,0
"5","Agrostis_variabilis",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,0,0
"6","Androsace_septentrionalis","Androsace_septentrionalis",NA,"ncbi|30526129","miseq|14464","ncbi|702066149",NA,"miseq|14464",0,0,0,1,0,1,0,1,0,0
"7","Anemone_drummondii","Anemone_drummondii","miseq|13562","miseq|13562","ncbi|459991296","ncbi|459927014","miseq|13562",NA,0,1,0,1,0,0,1,0,0,0
"8","Antennaria_corymbosa","Antennaria_corymbosa","miseq|14418",NA,"miseq|14418","miseq|14418","miseq|14418","miseq|14418",1,0,0,0,0,0,0,1,0,0
"9","Antennaria_lanata","Antennaria_lanata","miseq|14016","miseq|14016",NA,"miseq|14016",NA,"miseq|14016",1,0,0,0,0,0,1,0,0,1
"10","Antennaria_media","Antennaria_media","miseq|14019","miseq|14019","miseq|14360","miseq|14019","miseq|14322","miseq|14019",1,0,1,1,0,1,1,0,1,1
"11","Antennaria_microphylla","Antennaria_microphylla","miseq|14004","miseq|14004","ncbi|459991352","miseq|14004",NA,"miseq|14004",0,1,0,0,0,0,0,0,1,0
"12","Antennaria_rosea","Antennaria_rosea",NA,"ncbi|260079485",NA,"miseq|14273",NA,"miseq|14273",0,0,1,0,0,0,0,0,0,0
"13","Antennaria_umbrinella","Antennaria_umbrinella","miseq|13540","miseq|13540","miseq|14446","miseq|13540",NA,"miseq|13540",0,0,0,0,1,1,0,1,0,1
"14","Aquilegia_flavescens","Aquilegia_flavescens",NA,NA,NA,"ncbi|209489513","miseq|14428",NA,0,0,0,0,0,0,0,1,0,0
"15","Arnica_chamissonis","Arnica_chamissonis","miseq|14416",NA,NA,"miseq|14416",NA,"miseq|14416",1,0,0,0,0,1,0,1,0,0
"16","Arnica_latifolia","Arnica_latifolia","miseq|13577","miseq|13577","miseq|14361","miseq|13577","miseq|14316","miseq|13577",0,1,1,0,1,1,1,0,1,0
"17","Arnica_mollis","Arnica_mollis",NA,"ncbi|34765606","ncbi|34765359","miseq|14453",NA,"miseq|14453",0,0,0,0,0,0,0,1,0,0
"18","Arnica_parryi","Arnica_parryi","miseq|14240",NA,NA,"miseq|14240",NA,"miseq|14240",0,0,1,0,0,0,0,0,0,0
"19","Artemisia_dracunculus","Artemisia_dracunculus",NA,"miseq|14284",NA,"miseq|14284",NA,"miseq|14284",0,0,1,0,0,0,0,0,0,0
"20","Askellia_pygmaea","Askellia_pygmaea","ncbi|170284000","ncbi|260079528","ncbi|459991575","ncbi|459927278",NA,"miseq|14699",0,0,0,1,0,0,0,0,0,0
"21","Astragalus_alpinus","Astragalus_alpinus","miseq|14427","ncbi|260079530","ncbi|817991696","ncbi|60256609","miseq|14427","miseq|14427",0,0,0,0,0,0,0,1,0,0
"22","Astragalus_eucosmus","Astragalus_eucosmus","miseq|14598","miseq|14598","ncbi|459991612","ncbi|459927312","miseq|14598","miseq|14598",0,0,0,0,0,1,0,0,0,0
"23","Astragalus_kentrophyta","Astragalus_kentrophyta","miseq|14620","miseq|14456","miseq|14620",NA,"miseq|14701","miseq|14456",0,0,0,1,0,1,0,1,0,0
"24","Bistorta_bistortoides","Bistorta_bistortoides",NA,"ncbi|156536624","miseq|14432","ncbi|218203578","miseq|14417","miseq|14417",1,0,0,0,0,1,0,1,0,0
"25","Bistorta_vivipara","Bistorta_vivipara",NA,NA,NA,NA,"miseq|14573","miseq|14573",1,0,0,0,0,1,0,0,0,0
"26","Boechera_lemmonii","Boechera_lemmonii","miseq|13546","miseq|13546","miseq|14630","miseq|13546","miseq|13546","miseq|13546",1,0,1,1,0,1,0,1,1,1
"27","Boechera_microphylla","Boechera_microphylla","miseq|14011","miseq|14011","miseq|14011","miseq|14011","miseq|14011","miseq|14011",1,0,1,0,0,0,1,0,0,1
"28","Bupleurum_americanum","Bupleurum_americanum","miseq|13560","miseq|13560","miseq|14364","miseq|14364","miseq|14364","miseq|13560",1,0,0,0,0,0,0,0,1,1
"29","Calamagrostis_purpurascens","Calamagrostis_purpurascens",NA,"miseq|13551",NA,NA,"miseq|14319","miseq|13551",0,0,0,0,0,1,1,0,0,1
"30","Calyptridium_umbellatum","Calyptridium_umbellatum","ncbi|256807838",NA,NA,NA,"miseq|14434","miseq|14434",0,0,0,0,0,0,0,1,0,0
"31","Carex_luzulina","Carex_luzulina","ncbi|132694270","ncbi|121645904",NA,"ncbi|948297943","miseq|14458",NA,0,0,0,0,0,0,0,1,0,0
"32","Carex_microptera","Carex_microptera","ncbi|60328071",NA,NA,NA,"miseq|14638",NA,0,0,0,0,0,1,0,0,0,0
"33","Carex_nardina","Carex_nardina","miseq|14026","miseq|13549","miseq|14026","ncbi|459927724","miseq|13549",NA,1,0,0,1,0,1,0,0,0,1
"34","Carex_pachycarpa",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0
"35","Carex_proposita",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0
"36","Carex_scopulorum","Carex_scopulorum","miseq|14018","miseq|14018",NA,"miseq|14018",NA,NA,1,0,0,0,0,0,0,0,0,1
"37","Carex_straminiformis","Carex_straminiformis","miseq|14468","miseq|13548",NA,NA,"miseq|13548","miseq|14635",1,1,0,1,1,1,0,1,0,1
"38","Cassiope_mertensiana_var_gracilis","Cassiope_mertensiana","miseq|14022","ncbi|125950126","ncbi|37194716","miseq|14022","miseq|14022","miseq|14022",1,0,0,1,0,0,1,0,0,1
"39","Castilleja_applegatei","Castilleja_applegatei",NA,NA,NA,"miseq|14644",NA,"miseq|14644",0,0,1,0,0,0,0,0,0,0
"40","Castilleja_cusickii","Castilleja_cusickii","ncbi|129926134","miseq|14238",NA,"miseq|14238","miseq|14238","miseq|14238",1,0,1,0,0,0,1,1,0,0
"41","Castilleja_miniata","Castilleja_miniata","ncbi|129926152","miseq|14289",NA,"miseq|14289","miseq|14289","miseq|14289",1,0,0,0,0,1,1,1,0,0
"42","Castilleja_rhexiifolia","Castilleja_rhexiifolia",NA,"ncbi|225134744",NA,"miseq|14406","miseq|14406","miseq|14406",1,0,0,0,0,0,0,1,0,0
"43","Cerastium_arvense","Cerastium_arvense","ncbi|598699206","ncbi|239837484","ncbi|667668196","ncbi|62870790",NA,"miseq|14575",1,0,0,0,0,1,0,0,0,0
