Target and Region,F Name,R Name,Plate Name,Run Date
ITS,ITS5_CS1,ITS4_CS2,,141219
trnLF,trnL_c_CS1,trnF_f_CS2,,141219
trn,trnL_c_CS1,trnF_f_CS2,Mel 2015-10b.pcr2,150807
trn,trnT_a_CS1,trnL_b_CS2,Mel 2015-11b.pcr2,150807
trn,trnT_a_CS1,trnL_b_CS2,Mel 2015-12b.pcr2,150807
trn,trnT_a_CS1,trnL_b_CS2,Mel 2015-13b.pcr2,150807
trn,trnT_a_CS1,trnL_b_CS2,Mel 2015-14b.pcr2,150807
trn,trnT_a_CS1,trnL_b_CS2,Mel 2015-15b.pcr2,150807
rbcL,rbcL_5'_CS1,rbcL_Z674R_CS2,Mel 2015-16b.pcr2,150807
rbcL,rbcL_5'_CS1,rbcL_Z674R_CS2,Mel 2015-17b.pcr2,150807
rbcL,rbcL_5'_CS1,rbcL_Z674R_CS2,Mel 2015-18b.pcr2,150807
rbcL,rbcL_5'_CS1,rbcL_Z674R_CS2,Mel 2015-19b.pcr2,150807
rbcL,rbcL_5'_CS1,rbcL_Z674R_CS2,Mel 2015-20b.pcr2,150807
ITS,ITS5_CS1,ITS4_CS2,Mel 2015-3.pcr2,150807
ITS,ITS5_CS1,ITS4_CS2,Mel 2015-4.pcr2,150807
ITS,ITS5_CS1,ITS4_CS2,Mel 2015-5.pcr2,150807
trn,trnL_c_CS1,trnF_f_CS2,Mel 2015-7.pcr2,150807
trn,trnL_c_CS1,trnF_f_CS2,Mel 2015-8.pcr2,150807
trn,trnL_c_CS1,trnF_f_CS2,Mel 2015-9.pcr2,150807
ndhF,ndhF_5'_CS1,ndhF_803R_CS2,Mel 2015-21b.pcr2,160222
ndhF,ndhF_5'_CS1,ndhF_803R_CS2,Mel 2015-22b.pcr2,160222
ndhF,ndhF_5'_CS1,ndhF_803R_CS2,Mel 2015-23b.pcr2,160222
ndhF,ndhF_5'_CS1,ndhF_803R_CS2,Mel 2015-24b.pcr2,160222
ndhF,ndhF_5'_CS1,ndhF_803R_CS2,Mel 2015-25b.pcr2,160222
ndhF,ndhF_803_CS1,ndhF_1318R_CS2,Mel 2015-26b.pcr2,160222
ndhF,ndhF_803_CS1,ndhF_1318R_CS2,Mel 2015-27b.pcr2,160222
ndhF,ndhF_803_CS1,ndhF_1318R_CS2,Mel 2015-28b.pcr2,160222
ndhF,ndhF_803_CS1,ndhF_1318R_CS2,Mel 2015-29b.pcr2,160222
ndhF,ndhF_803_CS1,ndhF_1318R_CS2,Mel 2015-30b.pcr2,160222
ndhF,ndhF_1318_CS1,ndhF_3'_CS2,Mel 2015-31b.pcr2,160222
ndhF,ndhF_1318_CS1,ndhF_3'_CS2,Mel 2015-32b.pcr2,160222
ndhF,ndhF_1318_CS1,ndhF_3'_CS2,Mel 2015-33b.pcr2,160222
ndhF,ndhF_1318_CS1,ndhF_3'_CS2,Mel 2015-34b.pcr2,160222
ndhF,ndhF_1318_CS1,ndhF_3'_CS2,Mel 2015-35b.pcr2,160222
atpB,S1494R_CS1,S611_CS2,Mel 2015-36b.pcr2,160222
atpB,S1494R_CS1,S611_CS2,Mel 2015-37b.pcr2,160222
atpB,S1494R_CS1,S611_CS2,Mel 2015-38b.pcr2,160222
atpB,S1494R_CS1,S611_CS2,Mel 2015-39b.pcr2,160222
atpB,S1494R_CS1,S611_CS2,Mel 2015-40b.pcr2,160222
atpB,S766R_CS1,S2_CS2,Mel 2015-41b.pcr2,160222
atpB,S766R_CS1,S2_CS2,Mel 2015-42b.pcr2,160222
atpB,S766R_CS1,S2_CS2,Mel 2015-43b.pcr2,160222
atpB,S766R_CS1,S2_CS2,Mel 2015-44b.pcr2,160222
atpB,S766R_CS1,S2_CS2,Mel 2015-45b.pcr2,160222
matK,matK_1F_CS1,matK_4R_CS2,Mel 2015-46b.pcr2,160222
matK,matK_1F_CS1,matK_4R_CS2,Mel 2015-47b.pcr2,160222
matK,matK_1F_CS1,matK_4R_CS2,Mel 2015-48b.pcr2,160222
matK,matK_1F_CS1,matK_4R_CS2,Mel 2015-49b.pcr2,160222
matK,matK_1F_CS1,matK_4R_CS2,Mel 2015-50b.pcr2,160222
matK,matK_3F_CS1,matK_3R_CS2,Mel 2015-51b.pcr2,160222
matK,matK_3F_CS1,matK_3R_CS2,Mel 2015-52b.pcr2,160222
matK,matK_3F_CS1,matK_3R_CS2,Mel 2015-53b.pcr2,160222
matK,matK_3F_CS1,matK_3R_CS2,Mel 2015-54b.pcr2,160222
matK,matK_3F_CS1,matK_3R_CS2,Mel 2015-55b.pcr2,160222
ITS,ITS5_CS1,ITS4_CS2,Mel 2015-6.pcr2,160222
