SampleID	PrimerPairID	BarcodeID	ProjectID	MiSeqRun
Abies_lasiocarpa_14029	rbcL_5	Lima548	rbcL	150807
Abies_lasiocarpa_14029	trnT	Hotel356	trn_ab	150807
Abies_lasiocarpa_14232	ITS	India411	ITS	150807
Abies_lasiocarpa_14232	trnT	Alpha8	trn_ab	150807
Abies_lasiocarpa_14232	rbcL_5	India392	rbcL	150807
Abies_lasiocarpa_14232	trnLF	Alpha18	trn_cf	150807
Abies_lasiocarpa_14351	ITS	Alpha48	ITS	150807
Abies_lasiocarpa_14351	trnLF	Charlie142	trn_cf	150807
Abies_lasiocarpa_14351	trnT	Charlie138	trn_ab	150807
Abies_lasiocarpa_14351	rbcL_5	Golf330	rbcL	150807
Achillea_millefolium_var_alpicola_14136	rbcL_5	Lima573	rbcL	150807
Achillea_millefolium_var_alpicola_14136	trnT	Hotel381	trn_ab	150807
Achillea_millefolium_var_alpicola_14136	ITS	India393	ITS	150807
Achillea_millefolium_var_alpicola_14287	trnT	Bravo66	trn_ab	150807
Achillea_millefolium_var_alpicola_14287	rbcL_5	Juliett450	rbcL	150807
Achillea_millefolium_var_alpicola_14287	ITS	Juliett461	ITS	150807
Achillea_millefolium_var_alpicola_14287	trnLF	Bravo70	trn_cf	150807
Achillea_millefolium_var_alpicola_14431	ITS	Echo193	ITS	150807
Achillea_millefolium_var_alpicola_14431	trnLF	Delta190	trn_cf	150807
Achillea_millefolium_var_alpicola_14431	rbcL_5	Hotel370	rbcL	150807
Achillea_millefolium_var_alpicola_14431	trnT	Delta178	trn_ab	150807
Achillea_millefolium_var_alpicola_14619	ITS	Foxtrot285	ITS	150807
Achillea_millefolium_var_alpicola_14619	rbcL_5	Foxtrot270	rbcL	150807
Achillea_millefolium_var_alpicola_14619	trnT	Foxtrot270	trn_ab	150807
Achillea_millefolium_var_alpicola_14619	trnLF	Foxtrot283	trn_cf	150807
Achillea_millefolium_var_alpicola_14665	trnLF	Kilo515	trn_cf	150807
Achillea_millefolium_var_alpicola_14665	rbcL_5	Alpha22	rbcL	150807
Achillea_millefolium_var_alpicola_14665	trnT	India406	trn_ab	150807
Aconogonon_phytolaccaefolium_14229	rbcL_5	India398	rbcL	150807
Aconogonon_phytolaccaefolium_14229	trnT	Alpha14	trn_ab	150807
Aconogonon_phytolaccaefolium_14229	ITS	India402	ITS	150807
Aconogonon_phytolaccaefolium_14229	trnLF	Alpha16	trn_cf	150807
Agoseris_aurantiaca_14571	rbcL_5	Echo222	rbcL	150807
Agoseris_aurantiaca_14571	ITS	Echo229	ITS	150807
