"","x"
"1","Erigeron_compositus_14452"
"2","Erigeron_compositus_13537"
"3","Erigeron_compositus_14623"
"4","Erigeron_compositus_14248"
"5","Erigeron_compositus_14307"
"6","Erigeron_compositus_14700"
"7","Erigeron_compositus_14009"
"8","Erigeron_compositus_14355"
"9","Erigeron_evermannii_14224"
"10","Erigeron_evermannii_14340"
"11","Erigeron_evermannii_14363"
"12","Erigeron_evermannii_13578"
"13","Unknown_14667"
"14","Erigeron_grandiflorus_14600"
"15","Erigeron_asperugineus_14247"
"16","Erigeron_grandiflorus_14012"
"17","Erigeron_grandiflorus_14310"
"18","Erigeron_lonchophyllus_14612"
"19","Aster_alpinus_14609"
"20","Solidago_multiradiata_14124"
"21","Solidago_multiradiata_14595"
"22","Solidago_multiradiata_14419"
"23","Solidago_multiradiata_14653"
"24","Tonestus_lyallii_14362"
"25","Tonestus_lyallii_14622"
"26","Tonestus_lyallii_14308"
"27","Stenotus_acaulis_14666"
"28","Stenotus_acaulis_14704"
"29","Stenotus_acaulis_14278"
"30","Aster_occidentalis_var_occidentalis_14420"
"31","Aster_foliaceus_var_apricus_14583"
"32","Aster_foliaceus_var_apricus_14648"
"33","Aster_foliaceus_var_apricus_14430"
"34","Ericameria_discoidea_14315"
"35","Haplopappus_macronema_14342"
"36","Haplopappus_suffruticosus_14657"
"37","Haplopappus_macronema_14626"
"38","Haplopappus_macronema_14274"
"39","Achillea_millefolium_var_alpicola_14287"
"40","Achillea_millefolium_var_alpicola_14619"
"41","Achillea_millefolium_var_alpicola_14136"
"42","Achillea_millefolium_var_alpicola_14431"
"43","Achillea_millefolium_var_alpicola_14665"
"44","Artemisia_dracunculus_14284"
"45","Antennaria_umbrinella_14601"
"46","Antennaria_lanata_14016"
"47","Antennaria_umbrinella_14446"
"48","Antennaria_microphylla_14004"
"49","Antennaria_rosea_14273"
"50","Antennaria_umbrinella_14460"
"51","Antennaria_lanata_14312"
"52","Antennaria_umbrinella_14223"
"53","Antennaria_alpina_14258"
"54","Antennaria_microphylla_14348"
"55","Antennaria_alpina_14311"
"56","Antennaria_corymbosa_14418"
"57","Antennaria_alpina_14591"
"58","Antennaria_alpina_14360"
"59","Antennaria_alpina_14019"
"60","Antennaria_umbrinella_13540"
"61","Antennaria_alpina_14322"
"62","Antennaria_alpina_14684"
"63","Antennaria_alpina_14661"
"64","Packera_subnuda_14580"
"65","Senecio_werneriifolius_14277"
"66","Senecio_werneriifolius_14243"
"67","Senecio_werneriifolius_14685"
"68","Senecio_werneriifolius_14672"
"69","Unknown_14579"
"70","Senecio_werneriifolius_14671"
"71","Senecio_werneriifolius_14338"
"72","Senecio_fremontii_14466"
"73","Senecio_fremontii_14275"
"74","Senecio_fremontii_14707"
"75","Senecio_fremontii_14334"
"76","Senecio_fremontii_14005"
"77","Arnica_chamissonis_14416"
"78","Arnica_chamissonis_14582"
"79","Arnica_parryi_14240"
"80","Arnica_latifolia_var_gracilis_14128"
"81","Arnica_latifolia_14316"
"82","Arnica_latifolia_var_gracilis_13577"
"83","Arnica_latifolia_14599"
"84","Arnica_latifolia_14361"
"85","Arnica_mollis_14453"
"86","Arnica_latifolia_14303"
"87","Hulsea_algida_14459"
"88","Hulsea_algida_14222"
"89","Hulsea_algida_14627"
"90","Hulsea_algida_13575"
"91","Hulsea_algida_14321"
"92","Hulsea_algida_14365"
"93","Hulsea_algida_14276"
"94","Hulsea_algida_13545"
"95","Hulsea_algida_13546"
"96","Chaenactis_alpina_14283"
"97","Chaenactis_alpina_14297"
"98","Chaenactis_alpina_13553"
"99","Chaenactis_alpina_13579"
"100","Chaenactis_alpina_14337"
"101","Chaenactis_alpina_14433"
"102","Taraxacum_lyratum_14443"
"103","Taraxacum_lyratum_14615"
"104","Oxyria_digyna_14696"
"105","Crepis_nana_14699"
"106","Hieracium_triste_14299"
"107","Hieracium_triste_14017"
"108","Cirsium_scariosum_14435"
"109","Cirsium_subniveum_14288"
"110","Lomatium_sp_14134"
"111","Lomatium_idahoensis_14246"
"112","Lomatium_sp_14236"
"113","Bupleurum_americanum_14364"
"114","Bupleurum_americanum_13560"
"115","Castilleja_applegatei_14644"
"116","Castilleja_cusickii_14238"
"117","Castilleja_miniata_14586"
"118","Castilleja_miniata_14369"
"119","Gentiana_calycosa_14645"
"120","Castilleja_rhexiifolia_14406"
"121","Castilleja_miniata_14332"
"122","Castilleja_cusickii_14331"
"123","Castilleja_miniata_14289"
"124","Castilleja_cusickii_14296"
"125","Castilleja_cusickii_14368"
"126","Pedicularis_groenlandica_14410"
"127","Pedicularis_groenlandica_14596"
"128","Erythranthe_tilingii_14413"
"129","Erythranthe_tilingii_14574"
"130","Unknown_14676"
"131","Penstemon_montanus_var_idahoensis_14279"
"132","Penstemon_montanus_var_idahoensis_14234"
"133","Penstemon_montanus_var_idahoensis_13570"
"134","Unknown_14447"
"135","Chionophila_tweedyi_14013"
"136","Chionophila_tweedyi_14294"
"137","Chionophila_tweedyi_14008"
"138","Veronica_wormskjoldii_14587"
"139","Synthyris_pinnatifida_var_cenescens_14028"
"140","Eritrichium_nanum_14711"
"141","Eritrichium_nanum_14713"
"142","Eritrichium_nanum_14712"
"143","Phacelia_hastata_14245"
"144","Gentiana_calycosa_var_obtusiloba_14032"
"145","Gentiana_calycosa_14414"
"146","Gentiana_calycosa_14577"
"147","Phlox_cf_diffusa_14624"
"148","Minuartia_cf_obtusiloba_14606"
"149","Phlox_cf_pulvinata_14254"
"150","Phlox_cf_pulvinata_14461"
"151","Minuartia_cf_obtusiloba_14686"
"152","Phlox_pulvinata_14215"
"153","Phlox_pulvinata_14669"
"154","Phlox_pulvinata_14020"
"155","Polemonium_viscosum_13555"
"156","Polemonium_viscosum_14698"
"157","Polemonium_viscosum_14271"
"158","Polemonium_viscosum_14353"
"159","Polemonium_viscosum_14467"
"160","Polemonium_viscosum_14633"
"161","Polemonium_viscosum_13554"
"162","Collomia_debilis_14680"
"163","Collomia_debilis_14336"
"164","Androsace_septentrionalis_14464"
"165","Androsace_septentrionalis_14689"
"166","Unknown_14219"
"167","Phyllodoce_empetriformis_14359"
"168","Phyllodoce_empetriformis_14291"
"169","Phyllodoce_empetriformis_14597"
"170","Phyllodoce_empetriformis_14412"
"171","Phyllodoce_empetriformis_14021"
"172","Phyllodoce_glanduliflora_14023"
"173","Phyllodoce_glanduliflora_14581"
"174","Phyllodoce_glanduliflora_14290"
"175","Phyllodoce_empetriformis_14422"
"176","Cassiope_mertensiana_var_gracilis_14292"
