"","x"
"1","Erigeron_compositus_14452"
"2","Erigeron_compositus_13537"
"3","Erigeron_compositus_14623"
"4","Erigeron_compositus_14700"
"5","Erigeron_compositus_14307"
"6","Erigeron_compositus_14248"
"7","Erigeron_compositus_14009"
"8","Erigeron_compositus_14355"
"9","Erigeron_evermannii_14363"
"10","Erigeron_evermannii_14224"
"11","Erigeron_evermannii_14340"
"12","Erigeron_evermannii_13578"
"13","Unknown_14667"
"14","Erigeron_grandiflorus_14600"
"15","Erigeron_asperugineus_14247"
"16","Erigeron_grandiflorus_14310"
"17","Erigeron_grandiflorus_14012"
"18","Erigeron_lonchophyllus_14612"
"19","Aster_alpinus_14609"
"20","Solidago_multiradiata_14595"
"21","Solidago_multiradiata_14124"
"22","Solidago_multiradiata_14419"
"23","Solidago_multiradiata_14653"
"24","Tonestus_lyallii_14622"
"25","Tonestus_lyallii_14362"
"26","Tonestus_lyallii_14308"
"27","Stenotus_acaulis_14666"
"28","Stenotus_acaulis_14704"
"29","Stenotus_acaulis_14278"
"30","Aster_foliaceus_var_apricus_14583"
"31","Aster_foliaceus_var_apricus_14648"
"32","Aster_occidentalis_var_occidentalis_14420"
"33","Aster_foliaceus_var_apricus_14430"
"34","Haplopappus_macronema_14342"
"35","Ericameria_discoidea_14315"
"36","Haplopappus_suffruticosus_14657"
"37","Haplopappus_macronema_14626"
"38","Haplopappus_macronema_14274"
"39","Achillea_millefolium_var_alpicola_14619"
"40","Achillea_millefolium_var_alpicola_14431"
"41","Achillea_millefolium_var_alpicola_14287"
"42","Achillea_millefolium_var_alpicola_14136"
"43","Achillea_millefolium_var_alpicola_14665"
"44","Artemisia_dracunculus_14284"
"45","Antennaria_microphylla_14004"
"46","Antennaria_microphylla_14348"
"47","Antennaria_umbrinella_14460"
"48","Antennaria_umbrinella_14223"
"49","Antennaria_umbrinella_14601"
"50","Antennaria_umbrinella_14446"
"51","Antennaria_rosea_14273"
"52","Antennaria_alpina_14684"
"53","Antennaria_alpina_14661"
"54","Antennaria_lanata_14016"
"55","Antennaria_lanata_14312"
"56","Antennaria_alpina_14258"
"57","Antennaria_alpina_14591"
"58","Antennaria_alpina_14360"
"59","Antennaria_alpina_14311"
"60","Antennaria_corymbosa_14418"
"61","Antennaria_umbrinella_13540"
"62","Antennaria_alpina_14019"
"63","Antennaria_alpina_14322"
"64","Senecio_werneriifolius_14672"
"65","Unknown_14579"
"66","Senecio_werneriifolius_14338"
"67","Senecio_werneriifolius_14671"
"68","Packera_subnuda_14580"
"69","Senecio_werneriifolius_14277"
"70","Senecio_werneriifolius_14243"
"71","Senecio_werneriifolius_14685"
"72","Senecio_fremontii_14005"
"73","Senecio_fremontii_14466"
"74","Senecio_fremontii_14275"
"75","Senecio_fremontii_14707"
"76","Senecio_fremontii_14334"
"77","Arnica_chamissonis_14582"
"78","Arnica_chamissonis_14416"
"79","Arnica_parryi_14240"
"80","Arnica_latifolia_var_gracilis_14128"
"81","Arnica_mollis_14453"
"82","Arnica_latifolia_14316"
"83","Arnica_latifolia_14599"
"84","Arnica_latifolia_14361"
"85","Arnica_latifolia_var_gracilis_13577"
"86","Arnica_latifolia_14303"
"87","Hulsea_algida_14222"
"88","Hulsea_algida_14459"
"89","Hulsea_algida_14627"
"90","Hulsea_algida_13575"
"91","Hulsea_algida_14321"
"92","Hulsea_algida_14276"
"93","Hulsea_algida_14365"
"94","Hulsea_algida_13545"
"95","Chaenactis_alpina_14283"
"96","Chaenactis_alpina_13553"
"97","Chaenactis_alpina_14297"
"98","Chaenactis_alpina_14337"
"99","Chaenactis_alpina_13579"
"100","Chaenactis_alpina_14433"
"101","Taraxacum_lyratum_14615"
"102","Taraxacum_lyratum_14443"
"103","Crepis_nana_14699"
"104","Hieracium_triste_14017"
"105","Hieracium_triste_14299"
"106","Cirsium_subniveum_14288"
"107","Cirsium_scariosum_14435"
"108","Lomatium_sp_14134"
"109","Lomatium_idahoensis_14246"
"110","Lomatium_sp_14236"
"111","Bupleurum_americanum_14364"
"112","Bupleurum_americanum_13560"
"113","Castilleja_miniata_14586"
"114","Castilleja_miniata_14369"
"115","Castilleja_applegatei_14644"
"116","Castilleja_cusickii_14238"
"117","Castilleja_miniata_14289"
"118","Castilleja_cusickii_14331"
"119","Castilleja_miniata_14332"
"120","Castilleja_cusickii_14296"
"121","Castilleja_cusickii_14368"
"122","Castilleja_rhexiifolia_14406"
"123","Pedicularis_groenlandica_14410"
"124","Pedicularis_groenlandica_14596"
"125","Erythranthe_tilingii_14574"
"126","Erythranthe_tilingii_14413"
"127","Unknown_14676"
"128","Penstemon_montanus_var_idahoensis_14279"
"129","Penstemon_montanus_var_idahoensis_14234"
"130","Penstemon_montanus_var_idahoensis_13570"
"131","Unknown_14447"
"132","Chionophila_tweedyi_14294"
"133","Chionophila_tweedyi_14013"
"134","Chionophila_tweedyi_14008"
"135","Veronica_wormskjoldii_14587"
"136","Synthyris_pinnatifida_var_cenescens_14028"
"137","Eritrichium_nanum_14713"
"138","Eritrichium_nanum_14711"
"139","Eritrichium_nanum_14712"
"140","Phacelia_hastata_14245"
"141","Gentiana_calycosa_14414"
"142","Gentiana_calycosa_14577"
"143","Gentiana_calycosa_var_obtusiloba_14032"
"144","Minuartia_cf_obtusiloba_14606"
"145","Phlox_cf_diffusa_14624"
"146","Phlox_cf_pulvinata_14254"
"147","Phlox_cf_pulvinata_14461"
"148","Minuartia_cf_obtusiloba_14686"
"149","Phlox_pulvinata_14215"
"150","Phlox_pulvinata_14669"
"151","Phlox_pulvinata_14020"
"152","Polemonium_viscosum_14698"
"153","Polemonium_viscosum_14271"
"154","Polemonium_viscosum_14353"
"155","Polemonium_viscosum_14467"
"156","Polemonium_viscosum_14633"
"157","Polemonium_viscosum_13554"
"158","Collomia_debilis_14336"
"159","Collomia_debilis_14680"
"160","Unknown_14219"
"161","Phyllodoce_empetriformis_14359"
"162","Phyllodoce_empetriformis_14291"
"163","Phyllodoce_empetriformis_14412"
"164","Phyllodoce_empetriformis_14597"
"165","Phyllodoce_empetriformis_14021"
"166","Phyllodoce_empetriformis_14422"
"167","Phyllodoce_glanduliflora_14290"
"168","Phyllodoce_glanduliflora_14581"
"169","Phyllodoce_glanduliflora_14023"
"170","Cassiope_mertensiana_var_gracilis_14022"
"171","Cassiope_mertensiana_var_gracilis_14646"
"172","Cassiope_mertensiana_var_gracilis_14292"
"173","Androsace_septentrionalis_14464"
"174","Androsace_septentrionalis_14689"
