"","species","ITS","trnTLF","rbcL","matK","atpB","ndhF"
"Abies_lasiocarpa","Abies_lasiocarpa",NA,"miseq|14029","ncbi|56236673","ncbi|6520431","miseq|14232",NA
"Achillea_millefolium","Achillea_millefolium","miseq|14619","miseq|14136","ncbi|289108","miseq|14136","ncbi|908606036","miseq|14136"
"Aconogonon_phytolaccifolium","Aconogonon_phytolaccifolium",NA,NA,NA,NA,"miseq|14229",NA
"Agoseris_aurantiaca","Agoseris_aurantiaca","ncbi|33669310",NA,NA,NA,NA,NA
"Androsace_septentrionalis","Androsace_septentrionalis",NA,"ncbi|30526129","miseq|14464","ncbi|702066149",NA,"miseq|14464"
"Anemone_drummondii","Anemone_drummondii","miseq|13562","miseq|13562","ncbi|459991296","ncbi|459927014","miseq|13562",NA
"Antennaria_corymbosa","Antennaria_corymbosa","miseq|14418",NA,"miseq|14418","miseq|14418","miseq|14418","miseq|14418"
"Antennaria_lanata","Antennaria_lanata","miseq|14016","miseq|14016",NA,"miseq|14016",NA,"miseq|14016"
"Antennaria_media","Antennaria_media","miseq|14019","miseq|14019","miseq|14360","miseq|14019","miseq|14322","miseq|14019"
"Antennaria_microphylla","Antennaria_microphylla","miseq|14004","miseq|14004","ncbi|459991352","miseq|14004",NA,"miseq|14004"
"Antennaria_rosea","Antennaria_rosea",NA,"ncbi|260079485",NA,"miseq|14273",NA,"miseq|14273"
"Antennaria_umbrinella","Antennaria_umbrinella","miseq|13540","miseq|13540","miseq|14446","miseq|13540",NA,"miseq|13540"
"Aquilegia_flavescens","Aquilegia_flavescens",NA,NA,NA,"ncbi|209489513","miseq|14428",NA
"Arnica_chamissonis","Arnica_chamissonis","miseq|14416",NA,NA,"miseq|14416",NA,"miseq|14416"
"Arnica_latifolia","Arnica_latifolia","miseq|13577","miseq|13577","miseq|14361","miseq|13577","miseq|14316","miseq|13577"
"Arnica_mollis","Arnica_mollis",NA,"ncbi|34765606","ncbi|34765359","miseq|14453",NA,"miseq|14453"
"Arnica_parryi","Arnica_parryi","miseq|14240",NA,NA,"miseq|14240",NA,"miseq|14240"
"Artemisia_dracunculus","Artemisia_dracunculus",NA,"miseq|14284",NA,"miseq|14284",NA,"miseq|14284"
"Askellia_pygmaea","Askellia_pygmaea","ncbi|170284000","ncbi|260079528","ncbi|459991575","ncbi|459927278",NA,"miseq|14699"
"Astragalus_alpinus","Astragalus_alpinus","miseq|14427","ncbi|260079530","ncbi|817991696","ncbi|60256609","miseq|14427","miseq|14427"
"Astragalus_eucosmus","Astragalus_eucosmus","miseq|14598","miseq|14598","ncbi|459991612","ncbi|459927312","miseq|14598","miseq|14598"
"Astragalus_kentrophyta","Astragalus_kentrophyta","miseq|14620","miseq|14456","miseq|14620",NA,"miseq|14701","miseq|14456"
"Bistorta_bistortoides","Bistorta_bistortoides",NA,"ncbi|156536624","miseq|14432","ncbi|218203578","miseq|14417","miseq|14417"
"Bistorta_vivipara","Bistorta_vivipara",NA,NA,NA,NA,"miseq|14573","miseq|14573"
"Boechera_lemmonii","Boechera_lemmonii","miseq|13546","miseq|13546","miseq|14630","miseq|13546","miseq|13546","miseq|13546"
"Boechera_microphylla","Boechera_microphylla","miseq|14011","miseq|14011","miseq|14011","miseq|14011","miseq|14011","miseq|14011"
"Bupleurum_americanum","Bupleurum_americanum","miseq|13560","miseq|13560","miseq|14364","miseq|14364","miseq|14364","miseq|13560"
