"","desc","value"
"1","Root_state","0,1"
"2","mu","0.0452697385252686"
"3","gamma_0","0.0273390816486593"
"4","loglik.obs","-78.8104735513645"
"5","df","2"
"6","conv","0"
"7","n.obs","38"
"8","mntd.obs","96.4330563421053"
"9","mpd.obs","325.502852187767"
"10","runs","1000"
"11","mntd.mean.RD","97.8749615867632"
"12","mntd.sd.RD","14.5179800005216"
"13","mntd.obs.z.RD","0.0993185859607258"
"14","mntd.obs.rank.RD","459"
"15","mntd.obs.q.RD","0.458541458541459"
"16","mpd.mean.RD","261.673952379502"
"17","mpd.sd.RD","23.4378079461875"
"18","mpd.obs.z.RD","-2.72333060987674"
"19","mpd.obs.rank.RD","996"
"20","mpd.obs.q.RD","0.995004995004995"
"21","n.mean.DAMOCLES","37.876"
"22","mntd.mean.DAMOCLES","110.145100639542"
"23","mntd.sd.DAMOCLES","15.3017463848658"
"24","mntd.obs.z.DAMOCLES","0.896109761105316"
"25","mntd.obs.rank.DAMOCLES","197"
"26","mntd.obs.q.DAMOCLES","0.196803196803197"
"27","mpd.mean.DAMOCLES","280.393188594693"
"28","mpd.sd.DAMOCLES","24.2037386720022"
"29","mpd.obs.z.DAMOCLES","-1.86374775419527"
"30","mpd.obs.rank.DAMOCLES","970"
"31","mpd.obs.q.DAMOCLES","0.969030969030969"
"32","loglik.mean.DAMOCLES",NA
"33","loglik.sd.DAMOCLES",NA
"34","loglik.obs.z.DAMOCLES",NA
"35","loglik.obs.rank.DAMOCLES",NA
"36","loglik.obs.q.DAMOCLES",NA
