"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",28,92.2324468571429,98.210088613175,19.1068735641628,3966,-0.312852949801474,0.396560343965603,10000,"Braxon Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"2",46,95.5451595,73.908349192663,12.3064780439513,9603,1.75816429607752,0.96020397960204,10000,"Castle Peak","mntd","Spermatophyta",1,"Sawtooth Alpine"
"3",64,61.782960390625,59.7500413044859,8.91542664028622,5812,0.228022636286736,0.581141885811419,10000,"D.O. Lee Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"4",33,99.2277901212121,89.9614321176151,16.6551369143736,7049,0.556366366199006,0.704829517048295,10000,"Horstmann Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"5",71,54.0930787042253,55.8130434397634,8.03402329344208,4178,-0.214085106890589,0.417758224177582,10000,"Hyndman Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"6",39,90.0818093846154,81.6122103306641,14.4356358379544,7091,0.586714651784365,0.709029097090291,10000,"Mount Cramer","mntd","Spermatophyta",0,"Sawtooth Alpine"
"7",63,73.5680345238095,60.6080703011778,9.01356677520463,9249,1.43782861389381,0.924807519248075,10000,"Salzburger Spitzl","mntd","Spermatophyta",0,"Sawtooth Alpine"
"8",37,78.6892427837838,84.0996530100081,14.9774361497227,3727,-0.361237408868841,0.372662733726627,10000,"Snowyside Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"9",43,81.5655444883721,76.9732379578488,13.0142125864999,6275,0.352868565808354,0.627437256274373,10000,"Thompson Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"10",7,38.8753724285714,37.7957583719,12.3667030180819,5548,0.0873000714170043,0.554744525547445,10000,"Braxon Peak","mntd","Asterales",0,"Sawtooth Alpine"
"11",15,25.176022,21.77406970916,5.75339217172828,7232,0.591295046347949,0.723127687231277,10000,"Castle Peak","mntd","Asterales",0,"Sawtooth Alpine"
"12",6,48.1181285,42.0502727467167,14.1937111497827,6714,0.42750311664446,0.671332866713329,10000,"D.O. Lee Peak","mntd","Asterales",0,"Sawtooth Alpine"
"13",6,49.5880648333333,42.0138479589667,14.1920845699084,7111,0.533693048195776,0.711028897110289,10000,"Horstmann Peak","mntd","Asterales",0,"Sawtooth Alpine"
"14",11,39.2232875454545,27.3928936672727,8.00911234145416,9248,1.47711673576473,0.924707529247075,10000,"Hyndman Peak","mntd","Asterales",0,"Sawtooth Alpine"
"15",12,24.6057951666667,25.7627022418917,7.35776547509546,4469,-0.157236198835216,0.446855314468553,10000,"Mount Cramer","mntd","Asterales",0,"Sawtooth Alpine"
"16",11,48.3808419090909,27.3654683152455,7.96848840108051,9957,2.63730993082651,0.995600439956004,10000,"Salzburger Spitzl","mntd","Asterales",1,"Sawtooth Alpine"
"17",7,38.9734062857143,38.0481185558857,12.3263358441274,5486,0.0750659191449346,0.548545145485451,10000,"Snowyside Peak","mntd","Asterales",0,"Sawtooth Alpine"
"18",4,63.1947865,53.623917253825,19.4310508628325,7248,0.492555411116855,0.724727527247275,10000,"Thompson Peak","mntd","Asterales",0,"Sawtooth Alpine"
"19",5,114.1354924,91.45308851082,31.907871643248,7694.5,0.710871729170311,0.769373062693731,10000,"Braxon Peak","mntd","Caryophyllales",0,"Sawtooth Alpine"
"20",6,88.3799078333333,81.3302867142833,27.3027012915947,5874,0.258202331108544,0.587341265873413,10000,"Castle Peak","mntd","Caryophyllales",0,"Sawtooth Alpine"
"21",6,121.635020333333,81.1049130176,27.8137257440736,9253,1.45719806431791,0.925207479252075,10000,"D.O. Lee Peak","mntd","Caryophyllales",0,"Sawtooth Alpine"
"22",4,75.5540385,105.67508558435,39.1844612104349,2137,-0.768698768692747,0.213678632136786,10000,"Horstmann Peak","mntd","Caryophyllales",0,"Sawtooth Alpine"
"23",9,87.0315292222222,62.1391375443222,20.0104221603548,8802,1.24397134045565,0.88011198880112,10000,"Hyndman Peak","mntd","Caryophyllales",0,"Sawtooth Alpine"
