"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"1",28,92.2324468571429,94.7437548657643,19.0065028162046,4653,-0.132128884145921,0.465253474652535,10000,"Braxon Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"2",46,95.5451595,70.3790576132413,11.9040496579274,9858,2.11407904116054,0.985701429857014,10000,"Castle Peak","mntd","Spermatophyta",1,"Sawtooth Alpine"
"3",37,68.7756403243243,80.8991277214973,14.7839306660921,2200,-0.820044930606917,0.21997800219978,10000,"D.O. Lee Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"4",31,109.224300967742,89.553553242171,17.3959048933075,8590,1.13076887038734,0.858914108589141,10000,"Horstmann Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"5",45,58.7871608222222,71.28987963668,12.2660671268,1670,-1.01929320011145,0.166983301669833,10000,"Hyndman Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"6",39,90.0818093846154,78.3875400724103,14.0063569342326,7857,0.834925838825615,0.785621437856214,10000,"Mount Cramer","mntd","Spermatophyta",0,"Sawtooth Alpine"
"7",40,84.530283675,76.959733783895,13.649400952638,6949,0.554643380861474,0.694830516948305,10000,"Salzburger Spitzl","mntd","Spermatophyta",0,"Sawtooth Alpine"
"8",24,111.675174416667,103.009412061837,21.7951134358356,6521,0.397601158642327,0.652034796520348,10000,"Snowyside Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"9",17,97.7170027058824,122.249735452594,28.5894092297731,2046,-0.858105620495415,0.204579542045795,10000,"Thompson Peak","mntd","Spermatophyta",0,"Sawtooth Alpine"
"10",7,38.8753724285714,37.4791541061429,12.2712696929636,5628,0.11377945048581,0.562743725627437,10000,"Braxon Peak","mntd","Asterales",0,"Sawtooth Alpine"
"11",15,25.176022,21.7710529821733,5.73201548418974,7229,0.594026486358661,0.722827717228277,10000,"Castle Peak","mntd","Asterales",0,"Sawtooth Alpine"
"12",6,48.1181285,41.83505619255,14.0706561136523,6771.5,0.446537265689674,0.677082291770823,10000,"D.O. Lee Peak","mntd","Asterales",0,"Sawtooth Alpine"
"13",6,49.5880648333333,42.0077704183833,14.1632159331791,7050.5,0.535209972841847,0.704979502049795,10000,"Horstmann Peak","mntd","Asterales",0,"Sawtooth Alpine"
"14",11,39.2232875454545,27.5411978796364,7.97761172271631,9227,1.46435926839524,0.922607739226077,10000,"Hyndman Peak","mntd","Asterales",0,"Sawtooth Alpine"
"15",12,24.6057951666667,25.674863101275,7.27676805284755,4465,-0.146915213848267,0.446455354464554,10000,"Mount Cramer","mntd","Asterales",0,"Sawtooth Alpine"
"16",11,48.3808419090909,27.5147561652727,8.0145674997134,9949,2.60351987110525,0.994800519948005,10000,"Salzburger Spitzl","mntd","Asterales",1,"Sawtooth Alpine"
