"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","data","model"
"Braxon Peak",26,89.3778909230769,136.577470739935,32.550683460318,630,-1.45003344935593,0.062993700629937,10000,"Braxon Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Castle Peak",53,114.595890415094,95.3983537145113,16.9686253792272,8580,1.1313548547123,0.857914208579142,10000,"Castle Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"D.O. Lee Peak",51,73.0398678823529,97.5589706197608,17.5086427084186,863,-1.40039997078805,0.0862913708629137,10000,"D.O. Lee Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Horstmann Peak",35,112.179498285714,118.84055439414,25.2801944858368,4149,-0.263489116436884,0.414858514148585,10000,"Horstmann Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Hyndman Peak",72,63.0396081527778,78.9783858178111,11.8366185204296,943,-1.34656512225376,0.0942905709429057,10000,"Hyndman Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Mount Cramer",37,110.291414351351,115.340197805286,23.98940074344,4368,-0.210458923419158,0.436756324367563,10000,"Mount Cramer","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Salzburger Spitzl",63,105.734384253968,86.1401583435032,13.871643853115,9149,1.41253813303929,0.914808519148085,10000,"Salzburger Spitzl","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Snowyside Peak",35,128.171158685714,118.849369388506,25.2883960339299,6411,0.368619238828012,0.641035896410359,10000,"Snowyside Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Thompson Peak",45,77.1166147111111,104.057993596511,19.920081511758,921,-1.35247332544787,0.0920907909209079,10000,"Thompson Peak","mntd","Tracheophyta",0,"All Alpine","total","RD"
"Braxon Peak1",7,40.8640451428571,49.6898701237857,16.9383125951173,3178,-0.521056919416679,0.317768223177682,10000,"Braxon Peak","mntd","Asterales",0,"All Alpine","total","RD"
"Castle Peak1",17,22.1824078823529,28.257198944,6.79879081370904,1948,-0.893510512104283,0.194780521947805,10000,"Castle Peak","mntd","Asterales",0,"All Alpine","total","RD"
"D.O. Lee Peak1",10,36.3680004,39.99216586652,12.1451807768237,3933,-0.298403583537915,0.393260673932607,10000,"D.O. Lee Peak","mntd","Asterales",0,"All Alpine","total","RD"
"Horstmann Peak1",7,55.083037,49.5895086203571,17.1290804216897,6313.5,0.320713561055307,0.631286871312869,10000,"Horstmann Peak","mntd","Asterales",0,"All Alpine","total","RD"
"Hyndman Peak1",19,22.903372,26.1051591721105,5.92855819150923,2972,-0.5400616926888,0.297170282971703,10000,"Hyndman Peak","mntd","Asterales",0,"All Alpine","total","RD"
"Mount Cramer1",10,25.7796958,39.9038886879,12.1888034058581,1304,-1.15878420691499,0.13038696130387,10000,"Mount Cramer","mntd","Asterales",0,"All Alpine","total","RD"
"Salzburger Spitzl1",14,32.2668997142857,32.1368859994857,8.42714763387209,5100,0.0154279621585628,0.50994900509949,10000,"Salzburger Spitzl","mntd","Asterales",0,"All Alpine","total","RD"
"Snowyside Peak1",11,14.0646050909091,37.7262988034909,11.0317681048516,115,-2.14486866363478,0.0114988501149885,10000,"Snowyside Peak","mntd","Asterales",1,"All Alpine","total","RD"
"Thompson Peak1",9,30.528076,42.5439774808111,13.4830345505913,2003,-0.891186730681791,0.2002799720028,10000,"Thompson Peak","mntd","Asterales",0,"All Alpine","total","RD"
"Braxon Peak2",5,71.715978,74.18828376376,20.5020998326615,4980.5,-0.120587929233541,0.498000199980002,10000,"Braxon Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Castle Peak2",5,74.3753324,74.09110628384,20.3489482637861,5424.5,0.0139676071940193,0.542395760423958,10000,"Castle Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"D.O. Lee Peak2",9,52.930889,50.2239654729778,11.0122731813474,5933,0.245809696367432,0.593240675932407,10000,"D.O. Lee Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Horstmann Peak2",4,38.215758,87.05191572575,24.9078986600077,369.5,-1.9606695206353,0.0369463053694631,10000,"Horstmann Peak","mntd","Caryophyllales",1,"All Alpine","total","RD"
"Hyndman Peak2",11,41.1182,43.9117376312273,8.72693433019246,3692,-0.320105265552705,0.369163083691631,10000,"Hyndman Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Mount Cramer2",4,106.1158755,86.164273169075,25.0035378530975,7677,0.797951171875997,0.767623237676232,10000,"Mount Cramer","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Salzburger Spitzl2",8,55.606275375,54.2421723563875,12.6123210779381,5389,0.108156382174462,0.538846115388461,10000,"Salzburger Spitzl","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Snowyside Peak2",4,76.69939675,86.97384969875,24.8415085967296,3445.5,-0.413600200999975,0.344515548445155,10000,"Snowyside Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Thompson Peak2",6,53.3126613333333,65.3244575181667,17.0437818372943,2336,-0.704761202619348,0.233576642335766,10000,"Thompson Peak","mntd","Caryophyllales",0,"All Alpine","total","RD"
"Braxon Peak3",5,92.0850988,115.08760861468,35.1083805056671,2681.5,-0.655185727264378,0.268123187681232,10000,"Braxon Peak","mntd","Poales",0,"All Alpine","total","RD"
"Castle Peak3",7,74.1700208571429,86.7589000339571,22.3736099090824,2779.5,-0.562666428348871,0.277922207779222,10000,"Castle Peak","mntd","Poales",0,"All Alpine","total","RD"
"D.O. Lee Peak3",7,102.078144714286,86.7148661277,22.2302571073012,7467,0.691097656335241,0.746625337466253,10000,"D.O. Lee Peak","mntd","Poales",0,"All Alpine","total","RD"
"Horstmann Peak3",6,131.381868166667,98.8513315356167,27.6844897098279,8631.5,1.17504555698932,0.863063693630637,10000,"Horstmann Peak","mntd","Poales",0,"All Alpine","total","RD"
"Hyndman Peak3",12,56.4682645,54.4196150528417,8.50251838767337,5769,0.240946194262677,0.576842315768423,10000,"Hyndman Peak","mntd","Poales",0,"All Alpine","total","RD"
"Mount Cramer3",6,81.7166433333333,99.1719372672,27.5571160890515,2512.5,-0.633422375456832,0.251224877512249,10000,"Mount Cramer","mntd","Poales",0,"All Alpine","total","RD"
"Salzburger Spitzl3",9,77.8023202222222,69.6868825183667,14.9940756141263,6894,0.541242949062483,0.689331066893311,10000,"Salzburger Spitzl","mntd","Poales",0,"All Alpine","total","RD"
"Snowyside Peak3",5,110.7906198,114.71253328012,35.2843645017127,3906.5,-0.111151597471158,0.390610938906109,10000,"Snowyside Peak","mntd","Poales",0,"All Alpine","total","RD"
"Thompson Peak3",8,79.51256475,77.4276479424375,18.2363852653342,5218.5,0.114327306493449,0.521797820217978,10000,"Thompson Peak","mntd","Poales",0,"All Alpine","total","RD"
