"","betadiv.PhyloSor","betadiv.PhyloSor_turn","betadiv.PhyloSor_PD","betadiv.UniFrac","betadiv.UniFrac_turn","betadiv.UniFrac_PD","betadiv.SES_PhyloSor","betadiv.SES_PhyloSor_turn","betadiv.SES_PhyloSor_PD","betadiv.SES_UniFrac","betadiv.SES_UniFrac_turn","betadiv.SES_UniFrac_PD","util.pd.Com1","util.pd.Com2","util.pd.pd.obs.tot"
"Braxon Peak-Castle Peak",0.438630426741095,0.229295940936591,0.209334485804504,0.609788891695718,0.373052465725857,0.236736425969861,1.56361505036295,0.846433097708073,0.522127327826565,1.49347107986008,0.904327634393827,0.116887872245594,2672.833215,4666.230055,5279.099862
"Braxon Peak-D.O. Lee Peak",0.378259991744104,0.278314035767473,0.0999459559766306,0.548894974837714,0.435439223821678,0.113455751016035,-0.290361245415232,0.414888086309577,-0.775291276433752,-0.24566391285661,0.480127859265452,-0.792194192350704,2672.833215,3532.159838,4276.046837
"Braxon Peak-Horstmann Peak",0.377970586608782,0.225441792109726,0.152528794499056,0.548590209808435,0.367935537307903,0.180654672500532,0.816724863264377,-0.311069828269284,1.42514903589269,0.827193394920261,-0.259911163168762,1.29088106586454,2672.833215,3983.652348,4586.220658
"Braxon Peak-Hyndman Peak",0.432274411847987,0.249774113571093,0.182500298276894,0.603619541440032,0.399710813112284,0.203908728327748,0.683378637409144,1.50498558895481,-0.929377339707736,0.700646631036892,1.51598861992961,-1.17506305757768,2672.833215,4391.243902,5058.848449
"Braxon Peak-Mount Cramer",0.362804702146549,0.262970914928562,0.0998337872179869,0.532438289323623,0.416432257972364,0.116006031351258,0.951246037666757,0.70039681795673,0.172063188500599,0.95714582175203,0.746753577393966,-0.00614692700288987,2672.833215,3510.375687,4213.253083
"Braxon Peak-Salzburger Spitzl",0.48763856645553,0.254073284553971,0.233565281901559,0.655587422175246,0.405196869566256,0.25039055260899,1.48549187215674,0.783662387674866,0.40017493000513,1.42726881285948,0.838460685561467,-0.00178959956814209,2672.833215,5109.710788,5788.806302
"Braxon Peak-Snowyside Peak",0.442211748690631,0.321995599714215,0.120216148976416,0.613241084871359,0.487135660336273,0.126105424535087,1.84402951680119,0.997577831884627,0.880036427114736,1.73459475681866,1.01479223089619,0.514127430386866,2672.833215,3824.946818,4685.587352
"Braxon Peak-Thompson Peak",0.287679746366498,0.149040800138365,0.138638946228133,0.446818779557971,0.259417768490759,0.187401011067212,-0.654833240637586,-0.609933097385635,0.0895902465869396,-0.624802935307614,-0.590714425382722,0.199959039591742,2672.833215,3713.260687,4111.621888
"Castle Peak-D.O. Lee Peak",0.406600251330594,0.31133885142148,0.095261399909114,0.578131919066507,0.474841191632492,0.103290727434015,2.03063552831214,1.04606507997278,1.74667952704037,1.9040001119837,1.05275391585518,1.3779995581081,4666.230055,3532.159838,5765.928642
"Castle Peak-Horstmann Peak",0.270729578033085,0.20825126806472,0.0624783099683652,0.426101009550966,0.344715165742437,0.0813858438085284,-0.464019565406583,0.170224035167494,-0.685059271387464,-0.430832471639121,0.230470436383026,-0.683828662844129,4666.230055,3983.652348,5495.830708
