,Summit,n_collected,n_MiSeq,n_PHLAWD,n_talus_collected,n_talus_MiSeq,n_talus_PHLAWD,n_meadow_collected,n_meadow_MiSeq,n_meadow_PHLAWD
1,Braxon Peak,28,28,18,28,28,18,NA,NA,NA
2,Castle Peak,58,47,34,58,47,34,NA,NA,NA
3,D.O. Lee Peak,75,65,37,43,38,22,32,28,19
4,Horstmann Peak,38,34,21,36,32,20,2,2,2
5,Hyndman Peak,77,72,49,48,46,28,29,27,23
6,Mount Cramer,43,40,30,43,40,30,NA,NA,NA
7,Salzburger Spitzl,72,64,43,47,41,29,25,24,16
8,Snowyside Peak,42,38,24,28,25,15,14,14,11
9,Thompson Peak,56,44,35,18,18,12,38,27,24
,TOTAL ,489,432,291,349,315,208,140,122,95
